age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_delinquent_accounts,monthly_payment_capacity,last_audit_team_id,loan_defaulted
19,22908.82,2.9,14875.88,36,6.1,815,3,1,1455.84,14,0
36,36668.93,2.3,5231.74,24,11.78,531,3,1,2810.01,0,1
37,69966.37,8.6,3982.8,36,9.71,598,0,0,5702.56,1,0
54,54911.7,6.3,11008.3,36,11.16,558,3,0,4214.74,5,1
27,102776.44,0.7,22460.92,24,8.71,640,4,0,7541.57,14,0
29,101358.42,3.4,30475.48,48,11.0,571,3,0,7658.88,12,0
43,49243.56,0.3,37535.1,48,10.19,604,1,0,3148.21,16,0
41,27824.49,0.4,5393.33,12,8.43,644,5,1,1848.48,10,0
33,25368.27,0.2,18334.66,48,8.46,648,2,0,1662.45,17,0
31,21577.58,3.4,11622.12,36,7.69,723,3,0,1435.6,9,0
40,15000.0,5.6,5317.64,48,9.51,620,3,0,1116.38,11,0
31,39255.87,2.0,13123.0,36,8.02,659,3,1,2859.97,14,0
36,23375.37,0.6,25583.69,48,12.12,516,6,0,1272.72,7,0
28,46921.87,11.8,54557.13,36,8.65,673,2,0,2184.13,3,0
38,15000.0,2.4,5101.14,36,8.58,628,6,0,1088.78,6,0
37,28486.57,0.9,15621.86,48,7.49,713,1,1,1996.23,4,0
18,62736.98,0.2,43973.04,24,11.33,568,2,0,3171.85,2,1
27,50221.42,0.8,26692.27,36,8.55,646,3,0,3341.89,15,1
38,36605.69,3.2,24882.7,48,9.53,636,1,1,2424.99,13,0
24,53993.85,1.8,17271.57,36,9.55,616,2,1,3945.82,4,0
44,38497.24,0.9,16230.65,48,8.97,667,3,0,2804.43,11,0
31,43086.66,5.9,35126.98,60,8.8,681,0,0,2864.78,12,0
31,48636.55,11.0,12643.72,60,9.16,665,2,0,3789.6,11,0
66,47936.84,3.8,8051.3,60,10.57,596,2,0,3821.4,5,1
19,28501.93,3.5,26735.64,24,11.42,534,2,0,1123.85,5,1
18,24137.15,6.3,19261.8,36,6.43,779,3,0,1421.69,17,0
26,30191.64,1.9,1483.58,24,12.74,489,3,1,2445.62,12,0
33,25858.87,23.5,8189.26,48,11.11,560,4,0,1942.81,6,0
27,26836.42,4.6,8522.42,60,12.72,486,6,0,2043.68,17,0
29,78336.2,3.1,30324.66,36,9.59,607,1,1,5555.35,3,0
37,37150.68,6.0,2995.55,48,12.7,536,2,0,3015.97,5,1
33,93215.67,5.8,47859.7,48,6.17,798,2,0,6640.25,10,0
50,31343.76,1.8,4845.76,48,12.44,510,4,1,2483.32,2,1
25,19130.85,7.5,23503.19,36,11.19,570,2,0,822.66,15,1
30,15000.0,2.3,7307.27,24,7.69,748,4,1,920.54,17,0
44,34459.63,2.3,10009.71,12,7.78,699,1,0,2001.92,1,0
25,149144.02,1.2,1817.36,60,7.38,724,2,0,12392.36,11,0
30,101939.77,2.0,23862.83,36,10.48,580,6,1,7719.61,5,1
37,66862.63,6.5,25577.8,36,8.73,680,4,0,4761.73,16,0
27,85067.86,4.1,27654.36,12,9.96,598,3,0,4658.25,12,0
24,25561.62,2.1,22824.19,36,7.84,703,3,1,1416.59,14,0
18,22550.1,12.8,3718.74,36,7.35,689,3,0,1763.76,7,0
29,50764.36,3.7,9824.02,36,14.41,387,2,0,3892.64,14,0
30,15000.0,6.0,48437.18,12,13.25,422,4,1,-3081.96,14,0
32,30564.57,2.5,18154.73,36,6.58,803,4,0,1989.96,1,0
50,15931.89,13.6,10994.67,24,5.69,815,4,0,841.9,5,1
29,25813.49,7.0,6659.7,36,11.29,585,2,1,1932.18,9,0
37,82646.95,6.4,32167.31,36,8.48,657,1,1,5872.1,11,0
35,46298.84,15.4,6344.64,36,11.58,551,1,0,3648.77,1,0
41,28879.06,4.9,7883.24,24,7.7,719,3,0,2051.13,4,0
35,73710.96,1.1,7499.03,36,9.44,659,1,0,5902.57,10,0
49,15000.0,3.9,41865.45,24,9.45,584,2,1,-671.27,6,0
22,25676.96,5.3,33380.25,24,7.92,734,1,0,631.27,9,0
43,18454.06,5.7,16307.82,36,11.43,510,4,0,1000.61,5,1
18,50890.31,7.9,12218.66,48,7.48,699,3,0,3945.54,3,0
34,53357.45,4.8,8046.92,12,10.79,569,5,0,3736.04,5,1
34,20686.64,10.8,15596.31,24,13.47,453,2,2,978.96,0,1
37,29269.36,1.4,28916.87,48,9.49,648,8,1,1712.77,4,0
18,30387.13,20.5,42296.49,24,9.18,658,2,0,596.46,15,1
24,24861.87,12.3,20287.54,24,9.37,616,7,2,1141.54,12,0
38,80261.75,16.7,10465.19,48,8.47,693,0,1,6430.68,14,0
31,70460.18,7.8,17769.76,60,11.53,565,1,0,5480.61,15,1
34,15000.0,5.9,3676.84,24,10.99,601,5,0,1078.65,1,0
22,54749.15,0.8,5943.93,36,9.37,623,3,0,4372.39,13,0
41,50770.81,6.4,26148.7,48,8.43,693,4,0,3587.24,11,0
38,15000.0,20.7,7520.0,36,8.61,691,4,1,1012.23,7,0
33,28683.62,3.7,22303.87,36,10.63,545,1,0,1664.0,13,0
27,43683.33,3.1,27060.18,24,4.2,849,2,0,2462.78,5,1
25,15592.69,0.0,8348.62,48,9.69,614,1,1,1088.89,15,1
33,15000.0,1.3,28737.13,36,7.6,684,4,0,354.78,12,0
28,38524.08,12.6,21749.72,48,9.85,594,3,1,2660.28,16,0
33,42712.84,3.8,45264.76,60,12.13,511,5,0,2549.54,0,1
32,21853.95,7.0,40905.58,48,9.25,632,1,1,798.36,16,0
31,19942.3,0.1,5668.28,48,8.51,671,3,0,1522.12,14,0
40,28230.87,5.5,3957.81,60,6.33,802,3,0,2275.45,11,0
41,18618.16,1.1,8058.27,48,9.01,617,0,2,1350.94,3,0
27,15000.0,4.7,15873.95,60,11.39,511,1,0,901.77,12,0
34,20414.34,4.4,12468.13,36,8.56,670,4,0,1307.26,5,1
30,68752.58,3.9,18921.07,24,8.23,686,3,0,4871.65,16,0
18,28521.23,0.0,10934.46,48,6.79,750,2,0,2115.99,0,1
23,29614.39,10.4,18749.87,24,9.47,663,5,2,1607.23,13,0
35,20726.03,2.0,11058.19,12,12.41,449,3,0,742.54,0,1
33,38645.13,1.9,15693.85,48,8.71,602,3,0,2832.04,9,0
43,28995.29,6.6,100000.0,36,9.75,618,5,0,-798.72,0,1
38,38351.78,2.7,34575.3,48,7.34,758,3,0,2362.57,17,0
25,15000.0,0.9,6906.63,24,9.1,624,4,0,934.16,7,0
18,15000.0,8.0,10189.39,36,4.8,850,1,0,945.53,10,0
31,45827.63,0.5,2064.36,36,9.29,659,4,0,3753.04,9,0
20,67606.73,0.3,15131.72,36,7.76,713,0,1,5161.39,12,0
31,40155.43,1.3,18249.49,48,8.71,611,2,0,2894.66,12,0
42,107847.55,1.7,37347.9,12,6.5,791,1,0,5764.31,13,0
18,28723.57,1.5,24701.1,24,13.11,430,6,1,1218.02,8,1
64,45057.28,1.9,7567.53,48,13.12,446,4,0,3551.3,10,0
39,15000.0,9.3,14550.07,24,10.69,608,4,0,573.94,0,1
26,62392.0,10.8,30165.68,48,6.81,758,4,0,4479.63,14,0
23,56283.26,4.2,16996.41,12,5.55,834,3,0,3230.96,6,0
23,33015.5,7.5,23960.96,12,9.76,593,2,0,647.42,15,1
40,103137.31,0.1,6864.26,36,7.87,726,2,0,8380.09,1,0
34,15882.79,0.6,27254.73,60,7.85,710,4,0,772.89,4,0
40,44099.11,0.6,90421.34,36,11.87,482,2,0,677.25,0,1
